Linux 5.10.102.1-microsoft-standard-WSL2 (ANANTH)       09/06/22        _x86_64_        (4 CPU)

09:21:56     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:21:58     all    0.00    0.00    0.12    0.00    0.00    0.00    0.00    0.00    0.00   99.88
09:22:00     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:22:02     all    0.00    0.00    0.12    0.00    0.00    0.00    0.00    0.00    0.00   99.88
09:22:04     all    0.12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.88
09:22:06     all    0.00    0.00    0.12    0.00    0.00    0.00    0.00    0.00    0.00   99.88
09:22:08     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:22:10     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:22:12     all    0.12    0.00    0.12    0.00    0.00    0.00    0.00    0.00    0.00   99.75
09:22:14     all    0.00    0.00    0.12    0.00    0.00    0.00    0.00    0.00    0.00   99.88
09:22:16     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:22:18     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:22:20     all    0.00    0.00    0.13    0.00    0.00    0.00    0.00    0.00    0.00   99.87
09:22:22     all    0.00    0.00    0.12    0.00    0.00    0.00    0.00    0.00    0.00   99.88
09:22:24     all    0.00    0.00    0.00    0.12    0.00    0.00    0.00    0.00    0.00   99.88
09:22:26     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:22:28     all    0.00    0.00    0.13    0.00    0.00    0.00    0.00    0.00    0.00   99.87
Average:     all    0.02    0.00    0.06    0.01    0.00    0.00    0.00    0.00    0.00   99.91
ananth@ANANTH:~/Shellscript$
09:23:42     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:23:44     all    0.00    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.75
09:23:46     all    0.12    0.00    0.12    0.00    0.00    0.00    0.00    0.00    0.00   99.75
09:23:48     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:23:50     all    0.00    0.00    0.12    0.00    0.00    0.00    0.00    0.00    0.00   99.88
09:23:52     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:23:54     all    0.00    0.00    0.12    0.00    0.00    0.00    0.00    0.00    0.00   99.88
09:23:56     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:23:58     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:24:00     all    0.00    0.00    0.12    0.00    0.00    0.00    0.00    0.00    0.00   99.88
09:24:02     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:24:04     all    0.00    0.00    0.12    0.00    0.00    0.00    0.00    0.00    0.00   99.88
09:24:06     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:24:08     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:24:10     all    0.00    0.00    0.12    0.00    0.00    0.00    0.00    0.00    0.00   99.88
09:24:12     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:24:14     all    0.00    0.00    0.12    0.00    0.00    0.00    0.00    0.00    0.00   99.88
09:24:16     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:24:18     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:24:20     all    0.00    0.00    0.12    0.00    0.00    0.00    0.00    0.00    0.00   99.88
09:24:22     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:24:24     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:24:26     all    0.00    0.00    0.12    0.00    0.00    0.00    0.00    0.00    0.00   99.88
09:24:28     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:24:30     all    0.00    0.00    0.12    0.00    0.00    0.00    0.00    0.00    0.00   99.88
09:24:32     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:24:34     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:24:36     all    0.00    0.00    0.12    0.00    0.00    0.00    0.00    0.00    0.00   99.88
09:24:38     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:24:40     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:24:42     all    0.00    0.00    0.12    0.00    0.00    0.00    0.00    0.00    0.00   99.88
09:24:44     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:24:46     all    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.50
09:24:48     all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

09:24:48     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:24:50     all    0.00    0.00    0.12    0.00    0.00    0.00    0.00    0.00    0.00   99.88
Average:     all    0.00    0.00    0.07    0.00    0.00    0.00    0.00    0.00    0.00   99.93
