"Time 	CPU	%usr	%nice	%sys	%iowait	%irq	%soft	%steal	%guest	%gnice	%idle"
"15:31:25	all	0.62	0	1.49	0	0	0	0	0	0	97.89"
"15:31:27	all	0.12	0	1.25	0	0.25	0	0	0	0	98.38"
"15:31:29	all	0.25	0	0.62	0	0.12	0	0	0	0	99"
"15:31:31	all	1.62	0	0.75	0	0	0	0	0	0	97.63"
"15:31:33	all	0.37	0	0.75	0	0.37	0	0	0	0	98.5"
"15:31:35	all	0.25	0	0.12	0	0	0	0	0	0	99.62"
"15:31:37	all	0	0	0.87	0	0	0	0	0	0	99.13"
"15:31:39	all	0	0	0.13	0	0.25	0	0	0	0	99.62"
"15:31:41	all	0	0	0.12	0	0	0	0	0	0	99.88"
"15:31:43	all	0.12	0	1.62	0	0.37	0	0	0	0	97.88"
"15:31:45	all	0	0	0.75	0	0	0	0	0	0	99.25"
"15:31:47	all	1	0	0.62	0	0.12	0	0	0	0	98.25"
"Average:	all	0.36	0	0.76	0	0.12	0	0	0	0	98.75"
