15:31:23     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15:31:25     all    0.62    0.00    1.49    0.00    0.00    0.00    0.00    0.00    0.00   97.89
15:31:27     all    0.12    0.00    1.25    0.00    0.25    0.00    0.00    0.00    0.00   98.38
15:31:29     all    0.25    0.00    0.62    0.00    0.12    0.00    0.00    0.00    0.00   99.00
15:31:31     all    1.62    0.00    0.75    0.00    0.00    0.00    0.00    0.00    0.00   97.63
15:31:33     all    0.37    0.00    0.75    0.00    0.37    0.00    0.00    0.00    0.00   98.50
15:31:35     all    0.25    0.00    0.12    0.00    0.00    0.00    0.00    0.00    0.00   99.62
15:31:37     all    0.00    0.00    0.87    0.00    0.00    0.00    0.00    0.00    0.00   99.13
15:31:39     all    0.00    0.00    0.13    0.00    0.25    0.00    0.00    0.00    0.00   99.62
15:31:41     all    0.00    0.00    0.12    0.00    0.00    0.00    0.00    0.00    0.00   99.88
15:31:43     all    0.12    0.00    1.62    0.00    0.37    0.00    0.00    0.00    0.00   97.88
15:31:45     all    0.00    0.00    0.75    0.00    0.00    0.00    0.00    0.00    0.00   99.25
15:31:47     all    1.00    0.00    0.62    0.00    0.12    0.00    0.00    0.00    0.00   98.25
Average:     all    0.36    0.00    0.76    0.00    0.12    0.00    0.00    0.00    0.00   98.75
